page,name,price,product_url,image_url
1,Письменный стол Изи 120x67 Оливковый/Оранжевый,17 990,https://www.divan.ru/product/pismennyj-stol-izi-120x67-olivkovyj-oranjevyj,https://cdn0.divan.ru/img/v1/Zn__ysQmspFf0tlQuixJoCivpD9QZMCnba8i87y1A9w/t:0::0:0/pd:55:55:55:55/rs:fit:314:314:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwODUwNTgucG5n.jpg
1,Письменный стол Линдо 120x60 Светло-бежевый,19 990,https://www.divan.ru/product/pismennyj-stol-lindo-1-paloma,https://cdn0.divan.ru/img/v1/ifzbTIJ7rm5CASWZ2y-2swwCMVL_Afy5CLen9M3uLoc/t:0::0:0/pd:55:55:55:55/rs:fit:314:314:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU3MzI3MTAucG5n.jpg
1,Кровать Бэсти 90 Велюр Бежевый,32 990,https://www.divan.ru/product/krovat-besti-90-velyur-bejevyj,https://cdn0.divan.ru/img/v1/kviJ1Y251J4tbtNsYNaww_vY9uAVJxlJWQo78g2p3GU/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwNDIwMDAucG5n.jpg
1,Распашной шкаф Энзо 2-100-50x250 Светло-бежевый/Оливковый,32 990,https://www.divan.ru/product/raspashnoj-shkaf-enzo-2-100-50x250-svetlo-bejevyj-olivkovyj,https://cdn0.divan.ru/img/v1/rHxqr5GYwN1GNVpwTL-TQC9WrKKj4mZSxPr5T5uRjs0/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwNTIxNDIucG5n.jpg
1,Шкаф детский Кейла 1-105x190 Белый,23 990,https://www.divan.ru/product/shkaf-detskij-kejla-1-white,https://cdn0.divan.ru/img/v1/PI2pNZ5NANXn_Prd4mmpma1PtxqA3dVcgX-JFlKFJLE/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzOTYxMTIucG5n.jpg
1,Кровать Кейси 90 Велюр Розовый,29 990,https://www.divan.ru/product/krovat-kejsi-90-velvet-coral,https://cdn0.divan.ru/img/v1/Xxq3vd_WvTYkMVR7s5VROUnEl18QS0S1tjVTci7mV_0/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU5NTM2MDYucG5n.jpg
1,Пуф Флекс Велюр Оливковый/Оранжевый,26 990,https://www.divan.ru/product/puf-fleks-velyur-olivkovyj-oranjevyj,https://cdn0.divan.ru/img/v1/i92If5OTHEc2_yx0ds4faS71AYUNONNj63fP1BCyDVQ/t:0::0:0/pd:85:85:85:85/rs:fit:254:254:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwMTUyMzUucG5n.jpg
1,Тумба прикроватная Изи 40x56 Желтый/Розовый,9990,https://www.divan.ru/product/tumba-prikrovatnaya-izi-40x56-jeltyj-rozovyj,https://cdn0.divan.ru/img/v1/jx0zcnRPzMKXb7cWraRl_pHF4zLK5Pkg9UR14opXZjk/t:0::0:0/pd:75:75:75:75/rs:fit:274:274:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU5ODEwMTMucG5n.jpg
2,Ковер Ска Бежевый-Лиловый 160x230,12 990,https://www.divan.ru/product/kover-ska-bejevyj-lilovyj-160x230,https://cdn0.divan.ru/img/v1/bxikHu50YSCRVosYwON65O9TO_t4bYOsDmpAIqXvCWI/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwNDA5OTgucG5n.jpg
2,Офисное кресло Фэнси Экокожа Графит/Оранжевый,18 990,https://www.divan.ru/product/ofisnoe-kreslo-fensi-ekokoja-grafit-oranjevyj,https://cdn0.divan.ru/img/v1/pQSBOiVuniFvBNf2x1Jau3RBIwDbE70kVwfOFEEXsP4/t:0::0:0/pd:100:100:100:100/rs:fit:224:224:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU5MDI0NDUucG5n.jpg
